"Density_kg/m, Experimental","Density_kg/m, Prediction on epsilon=0.0001","Density_kg/m, Prediction on epsilon=0.01",Salt Name,Temperature_K,Pressure_kPa
7.135687347028144,7.139350512022501,7.146226827391053,1-ethyl-3-methylimidazolium ethyl sulfate,345.65,35000.0
7.133455559078037,7.1297671906677005,7.12850551614842,1-ethyl-3-methylimidazolium acetate,328.15,101.0
7.280008252884188,7.309752941545896,7.3072828683614075,1-ethyl-3-methylimidazolium thiocyanate,313.15,101.325
7.13385445812198,7.133004871614243,7.142891524894348,1-ethyl-3-methylimidazolium tetrafluoroborate,313.15,10000.0
7.224826236327706,7.224195618536476,7.217650797464488,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,348.15,101.0
7.115338392178291,7.114985582253664,7.122223100504991,1-ethyl-3-methylimidazolium tetrafluoroborate,319.239,1155.6
7.305860032684009,7.305397300310184,7.298696554018568,1-ethyl-3-methylimidazolium tetrafluoroborate,313.15,25000.0
7.286191714702382,7.309740021468834,7.314407530286142,1-ethyl-3-methylimidazolium tetrafluoroborate,293.15,101.325
7.189846753120674,7.190243213652072,7.191783101829017,1-ethyl-3-methylimidazolium ethyl sulfate,413.17,49998.0
7.119635638017636,7.119245615371587,7.128880793865116,1-ethyl-3-methylimidazolium ethyl sulfate,313.15,100.0
7.020208581253186,7.021132615756735,7.024878262209061,1-ethyl-3-methylimidazolium ethyl sulfate,293.15,30000.0
7.109029428692779,7.10853851195428,7.111583090647118,1-ethyl-3-methylimidazolium ethyl sulfate,343.15,35000.0
7.1347314763165235,7.127690435412183,7.137826201359978,1-ethyl-3-methylimidazolium ethyl sulfate,335.65,100.0
7.371489295214277,7.3620166678549674,7.370727842363117,1-ethyl-3-methylimidazolium acetate,333.15,101.325
7.150858308035951,7.152694050214227,7.146742711845373,1-ethyl-3-methylimidazolium ethyl sulfate,333.15,35000.0
7.303708626717706,7.3021145237308565,7.29518763978636,1-ethyl-3-methylimidazolium acetate,343.15,101.325
7.0726763210959245,7.0708440927317735,7.080322615493329,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,373.14,60448.0
7.1049654482698426,7.105652966507296,7.114950130788368,1-ethyl-3-methylimidazolium tetrafluoroborate,328.15,101.325
7.085901464365611,7.08480382981432,7.091181780350797,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,393.15,3000.0
7.227880339923286,7.2272235586712705,7.220373850793922,1-ethyl-3-methylimidazolium ethyl sulfate,373.15,20010.0
7.1308988302963465,7.131333133654851,7.129905725684101,1-ethyl-3-methylimidazolium ethyl sulfate,353.13,19599.0
7.120201820748012,7.120991972754649,7.123001440179286,1-ethyl-3-methylimidazolium ethyl sulfate,391.41,20000.0
7.132186001535899,7.132308228978335,7.142028287186397,1-ethyl-3-methylimidazolium ethyl sulfate,298.15,100.0
7.31741159170877,7.318740727801154,7.312725423797218,1-ethyl-3-methylimidazolium methylsulfate,283.15,101.325
7.1994542727918525,7.199453228620583,7.195338138309628,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,298.15,101.325
7.074116816197362,7.06158531971013,7.068744191151841,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,393.15,7500.0
7.1204443723924875,7.12010587000457,7.1266420881851325,1-ethyl-3-methylimidazolium ethyl sulfate,353.15,20000.0
7.312953684861757,7.315423306270762,7.309212940477908,1-ethyl-3-methylimidazolium tetrafluoroborate,308.15,101.3
7.232444077063014,7.233489333306069,7.225994995626869,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,333.15,101.325
7.142345071420595,7.142200671259494,7.137077417473656,1-ethyl-3-methylimidazolium ethyl sulfate,313.15,109873.0
7.1314666690454045,7.13161955481342,7.141488838524938,1-ethyl-3-methylimidazolium tetrafluoroborate,328.4,101.325
7.354298348848148,7.3531432158673145,7.366176256724621,1-ethyl-3-methylimidazolium ethyl sulfate,313.15,129874.0
7.201841799106912,7.203529202573998,7.197730172970913,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,443.15,101.325
7.374629015218945,7.352521262898342,7.354456590879873,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,339.0,101.325
7.154537228861746,7.154624773004076,7.154467862428519,1-ethyl-3-methylimidazolium tetrafluoroborate,293.15,40000.0
7.1631723908466425,7.163458916574919,7.1569472930359925,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,414.92,5000.0
6.998235632110512,6.999576710653598,7.002698867270766,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,353.19,29997.0
7.326268225939559,7.328672398744177,7.323269122035123,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,352.31,10000.0
7.312553498102598,7.3121021526339325,7.3057023872575835,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,333.15,101.0
7.161466831862764,7.154624773004076,7.154467862428519,1-ethyl-3-methylimidazolium tetrafluoroborate,298.15,4000.0
7.298445101508147,7.302214589819877,7.2952926302743055,1-ethyl-3-methylimidazolium ethyl sulfate,333.12,19852.0
6.96659006470303,6.967073222392318,6.975272315795383,1-ethyl-3-methylimidazolium tetrafluoroborate,323.15,8000.0
7.157657599597038,7.15751734132373,7.157369963020351,1-ethyl-3-methylimidazolium tetrafluoroborate,293.15,101.325
7.27931883541462,7.299578200068823,7.297149054048627,1-ethyl-3-methylimidazolium tetrafluoroborate,352.7,110000.0
7.069874128458572,7.069295987157888,7.077461058875473,1-ethyl-3-methylimidazolium ethyl sulfate,323.15,2500.0
7.222054939338188,7.224164665807085,7.2176229422286475,1-ethyl-3-methylimidazolium tetrafluoroborate,323.15,40000.0
7.2909747781429814,7.291307074504406,7.290591346529516,1-ethyl-3-methylimidazolium ethyl sulfate,373.15,101.325
7.124880757970784,7.124714104026297,7.134514053107247,1-ethyl-3-methylimidazolium tetrafluoroborate,308.15,101.0
7.374001859350161,7.373898717335821,7.379920226885167,1-ethyl-3-methylimidazolium ethyl sulfate,313.15,25000.0
7.358830898342354,7.334695932910592,7.336288133756553,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,333.15,101.325
7.295735072749282,7.295434217337488,7.288197227876397,1-ethyl-3-methylimidazolium ethyl sulfate,333.15,20000.0
7.158903026705945,7.161746348489268,7.154606701017793,1-ethyl-3-methylimidazolium ethyl sulfate,308.15,30000.0
7.174111564719166,7.17487893482089,7.183009968833313,1-ethyl-3-methylimidazolium ethyl sulfate,298.16,139020.0
7.1363240869414115,7.136492956660116,7.148458569540129,1-ethyl-3-methylimidazolium tetrafluoroborate,288.15,101.325
7.128976984733648,7.129391732495313,7.130683023626516,1-ethyl-3-methylimidazolium acetate,328.15,101.325
7.154224655599844,7.151758485067492,7.15156768432624,1-ethyl-3-methylimidazolium methanesulfonate,363.15,101.325
7.16649760753621,7.166658228007294,7.157528375534564,1-ethyl-3-methylimidazolium ethyl sulfate,343.15,24990.0
7.09004350188719,7.090838703618819,7.0952065774497,1-ethyl-3-methylimidazolium ethyl sulfate,293.15,20000.0
