"Normal melting temperature, K",salt_name
323.55,"N-decyl-N,N-dimethyldecan-1-aminium N-cyclohexylsulfamate"
377.65,1-hexadecylpyridinium N-cyclohexylsulfamate
388.45,1-dodecylpyridinium N-cyclohexylsulfamate
297.35,1-((undecyloxy)methyl)pyridinium N-cyclohexylsulfamate
259.05,1-((heptyloxy)methyl)pyridinium N-cyclohexylsulfamate
305.65,1-((dodecyloxy)methyl)pyridinium N-cyclohexylsulfamate
238.2,1-((hexyloxy)methyl)pyridinium N-cyclohexylsulfamate
327.13,tetrabutylammonium perfluorobutanesulfonate
296.75,1-methyl-3-hexylimidazolium perfluorobutanesulfonate
360.8,1-dodecyl-3-methylpyridinium chloride
348.7,1-decyl-3-methylpyridinium chloride
384.5,1-butyl-3-methylpyridinium chloride
382.9,1-butyl-3-methylpyridinium chloride
355.1,1-hexyl-3-methylpyridinium chloride
353,1-hexyl-3-methylpyridinium chloride
353.2,1-octyl-3-methylpyridinium chloride
352.3,1-octyl-3-methylpyridinium chloride
366.8,1-tetradecyl-3-methylpyridinium chloride
359.9,1-dodecyl-3-methylpyridinium chloride
386,3-methyl-1-octadecylpyridinium chloride
385.4,3-methyl-1-octadecylpyridinium chloride
383.1,1-hexadecyl-3-methylpyridinium chloride
383,1-hexadecyl-3-methylpyridinium chloride
367.7,1-tetradecyl-3-methylpyridinium chloride
352.5,1-decyl-3-methylpyridinium chloride
265.15,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
329.1,"3,5-dimethyl-1-octylpyridinium tetrafluoroborate"
293.1,"2,3,5-trimethyl-1-octylpyridinium thiocyanate"
235.1,"3,5-dimethyl-1-octylpyridinium thiocyanate"
286.1,"1-butyl-3,5-dimethylpyridinium thiocyanate"
326.1,5-ethyl-2-methyl-1-octylpyridinium dicyanamide
272.1,"1-butyl-3,5-dimethylpyridinium dicyanamide"
349.1,"3,5-dimethyl-1-octylpyridinium 1,1,1-trifluoromethanesulfonate"
347.1,"1-butyl-2,3,5-trimethylpyridinium 1,1,1-trifluoromethanesulfonate"
290.1,"1-butyl-2,3-dimethylpyridinium 1,1,1-trifluoromethanesulfonate"
364.1,"1-butyl-3,5-dimethylpyridinium 1,1,1-trifluoromethanesulfonate"
360.1,5-ethyl-2-methyl-1-octylpyridinium iodide
355.1,"3,5-dimethyl-1-octylpyridinium iodide"
343.1,"1-butyl-4-methylpyridinium 1,1,2,2,3,3,4,4,4-nonafluoro-1-butanesulfonate"
278.1,1-octyl-3-methylimidazolium trifluoromethanesulfonate
283.1,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide
288.1,1-butyl-3-methylimidazolium trifluoromethanesulfonate
269.1,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
268.1,3-methyl-1-octylimidazolium dicyanamide
305.1,1-methyl-3-octylimidazolium perfluorobutanesulfonate
311.1,1-butyl-4-methylpyridinium trifluoromethanesulfonate
285.7,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide
538.1,dodecyltrimethylammonium bromide
520.1,"N,N,N-trimethyl-1-hexadecanaminium bromide"
318.1,didecyldiethylammonium bromide
418.4,"1-phenyl-2,3,5-trimethylpyrazolium tetrafluoroborate"
386.1,"1-phenyl-2-ethyl-3,5-dimethylpyrazolium tetrafluoroborate"
353.1,"1-phenyl-3,5-dimethyl-2-propylpyrazolium tetrafluoroborate"
365.6,"1-phenyl-3,5-dimethyl-2-propylpyrazolium methanesulfonate"
395.6,"1-phenyl-2-ethyl-3,5-dimethylpyrazolium methanesulfonate"
340.8,"1-phenyl-2-butyl-3,5-dimethylpyrazolium tetrafluoroborate"
365.8,"1-(cyanomethyl)-3-methylimidazolium 4,5-dicyano-2-(trifluoromethyl)imidazolide"
318,1-hexylquinolinium bis(trifluoromethylsulfonyl)amide
355.9,1-ethyl-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide
318,1-hexylquinolinium bis(trifluoromethylsulfonyl)amide
328.3,N-hexylisoquinolinium bis(trifluoromethylsulfonyl)imide
365.8,"1-(cyanomethyl)-3-methylimidazolium 4,5-dicyano-2-(trifluoromethyl)imidazolide"
366.1,"1-(cyanomethyl)-3-methylimidazolium 4,5-dicyano-2-(trifluoromethyl)imidazolide"
288,1-ethyl-3-methylimidazolium tetrafluoroborate
299,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide
272,1-butylpyridinium tetrafluoroborate
257,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
338,1-butyl-3-methylimidazolium chloride
350.8,1-butyl-3-methylimidazolium bromide
286.1,1-ethyl-3-methylimidazolium tetrafluoroborate
256.1,1-propyl-3-methylimidazolium tetrafluoroborate
288.1,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide"
352.1,1-ethyl-3-methylimidazolium bromide
362.1,1-ethyl-3-methylimidazolium chloride
312.1,"1-ethyl-3-methyl-2,3-dihydro-1H-imidazol-1-ium tris[(trifluoromethyl)sulfonyl]methanide"
332.1,tetrabutylammonium tris[(trifluoromethyl)sulfonyl]methide
319.1,tetraethylammonium tris[(trifluoromethyl)sulfonyl]methide
298.1,"1-ethyl-2,3-dimethylimidazolium bis[(pentafluoroethyl)sulfonyl]imide"
272.1,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide"
356.1,tetraethyammonium bis[(pentafluoroethyl)sulfonyl]imide
333.1,1-methyl-3-propylimidazolium chloride
387.1,1-methyl-3-(1-methylethyl)imidazolium iodide
414.1,"1-ethyl-2,3-dimethylimidazolium bromide"
411.1,"1,2-dimethyl-3-propylimidazolium chloride"
345.1,tetraethylammonium tetrafluoroborate
284.1,1-ethyl-3-methylimidazolium tetrafluoroborate
343.1,tetraethylammonium hexafluorophosphate
335.1,1-ethyl-3-methylimidazolium hexafluorophosphate
313.1,1-methyl-3-propylimidazolium hexafluorophosphate
375.1,1-methyl-3-(1-methylethyl)imidazolium hexafluorophosphate
351.1,"1,2-dimethyl-3-propylimidazolium hexafluorophosphate"
326.1,1-ethyl-3-methylimidazolium hexafluoroarsenate
363.1,tetrabutylammonium bis[(trifluoromethyl)sulfonyl]imide
258.1,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
