"Density_kg/m, Experimental","Density_kg/m, Prediction",Salt Name,Temperature_K,Pressure_kPa
7.35883089834,7.3184925851,1-ethyl-3-methylimidazolium tetrafluoroborate,343.05,101.325
7.11862379942,7.12151676892,1-ethyl-3-methylimidazolium ethyl sulfate,293.15,101.325
7.21604847534,7.21213318176,1-ethyl-3-methylimidazolium ethyl sulfate,333.13,89997.0
7.14654380692,7.12541414633,1-ethyl-3-methylimidazolium thiocyanate,298.15,6000.0
7.09663859361,7.09813917994,1-ethyl-3-methylimidazolium tetrafluoroborate,472.4,20000.0
6.97588110803,6.98964166562,1-ethyl-3-methylimidazolium acetate,313.15,101.325
7.36707705988,7.33251904087,1-ethyl-3-methylimidazolium ethyl sulfate,315.65,101.325
7.15851399733,7.16128761506,1-ethyl-3-methylimidazolium ethyl sulfate,353.15,20000.0
7.00142775484,7.01010874477,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,313.0,101.325
7.02473799447,7.02714051979,1-ethyl-3-methylimidazolium hexafluorophosphate,452.5,200000.0
7.35883089834,7.35460138503,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,323.15,30000.0
7.1557865458,7.1555066687,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,308.15,101.325
7.1078348907,7.10982797443,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,283.19,1750.0
7.13815245901,7.11606311073,1-ethyl-3-methylimidazolium methylsulfate,356.15,101.325
7.23986085274,7.22439507229,1-ethyl-3-methylimidazolium ethyl sulfate,298.16,79619.0
7.15226885603,7.1539881335,1-ethyl-3-methylimidazolium ethyl sulfate,413.13,19924.0
7.25240824769,7.23825810208,1-ethyl-3-methylimidazolium ethyl sulfate,393.15,25000.0
7.12343101545,7.12736070154,1-ethyl-3-methylimidazolium hexafluorophosphate,332.7,190000.0
7.31634882176,7.31850950014,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,293.15,3000.0
7.27924986752,7.28616787193,1-ethyl-3-methylimidazolium methanesulfonate,323.15,101.325
7.13854948923,7.13713466431,1-ethyl-3-methylimidazolium ethyl sulfate,373.15,54990.0
7.13153862558,7.13667664659,1-ethyl-3-methylimidazolium acetate,338.15,101.0
7.29213293476,7.29668186936,1-ethyl-3-methylimidazolium methanesulfonate,288.15,101.325
7.06390396147,7.05617640771,1-ethyl-3-methylimidazolium methanesulfonate,298.15,101.325
7.02527161241,7.02845388269,1-ethyl-3-methylimidazolium acetate,293.15,101.325
7.09014350022,7.08785135069,1-ethyl-3-methylimidazolium tetrafluoroborate,318.36,19918.0
7.16587979919,7.16447290918,1-ethyl-3-methylimidazolium methylsulfate,393.15,15000.0
7.13393421884,7.13645540639,1-ethyl-3-methylimidazolium ethyl sulfate,393.12,59389.0
7.12415614943,7.12291773417,1-ethyl-3-methylimidazolium acetate,313.15,101.325
7.11834030105,7.12031473505,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,278.15,101.325
7.10455485496,7.10690577581,1-ethyl-3-methylimidazolium methanesulfonate,353.15,101.325
6.99768738648,7.00424681433,1-ethyl-3-methylimidazolium ethyl sulfate,290.66,101.325
7.11476944837,7.11412191631,1-ethyl-3-methylimidazolium acetate,318.15,101.0
7.15007380968,7.15281960471,1-ethyl-3-methylimidazolium ethyl sulfate,308.15,101.325
7.13169851047,7.12832511696,1-ethyl-3-methylimidazolium ethyl sulfate,303.15,101.325
7.23883442758,7.2267446395,1-ethyl-3-methylimidazolium tetrafluoroborate,340.39,50227.0
