,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>","Temperature, K"
144,101.0,1260.5,333.15
145,101.0,1253.2,343.15
146,101.0,1245.9,353.15
147,101.325,1280.0,298.15
148,101.325,1278.0,303.15
149,101.325,1275.0,308.15
150,101.325,1272.0,313.15
151,101.325,1270.0,318.15
152,101.325,1268.0,323.15
153,101.325,1265.0,328.15
154,101.325,1262.0,333.15
155,101.325,1259.0,338.15
156,101.325,1304.1,283.1
157,101.325,1297.0,293.15
158,101.325,1289.3,303.15
159,101.325,1281.9,313.15
160,101.325,1274.5,323.15
161,101.325,1267.0,333.15
162,101.325,1259.7,343.15
163,101.325,1252.6,353.15
164,101.325,1245.6,363.15
165,101.0,1279.6,298.15
166,101.0,1278.8,299.15
167,101.0,1277.2,301.15
168,101.0,1276.5,302.15
169,101.0,1275.7,303.15
170,101.0,1274.9,304.15
171,101.0,1274.2,305.15
172,101.0,1272.7,307.15
173,101.0,1271.9,308.15
174,101.325,1283.9,293.15
175,101.325,1280.0,298.15
176,101.325,1276.2,303.15
177,101.325,1272.4,308.15
178,101.325,1268.6,313.15
179,101.325,1264.9,318.15
180,101.325,1261.2,323.15
181,101.325,1257.4,328.15
182,101.325,1253.8,333.15
183,101.325,1250.1,338.15
184,101.325,1246.5,343.15
185,101.325,1287.0,293.41
186,101.325,1283.0,298.14
187,101.325,1280.0,303.08
188,101.325,1275.0,307.94
189,101.325,1272.0,313.0
190,101.325,1267.0,318.7
191,101.325,1265.0,322.5
192,101.325,1261.0,328.4
193,101.325,1257.0,332.78
194,101.325,1254.0,338.22
195,101.325,1251.0,343.05
196,101.325,1247.0,347.97
197,101.325,1244.0,353.07
198,101.325,1292.0,283.15
199,101.325,1288.2,288.15
200,101.325,1284.3,293.15
201,101.325,1280.5,298.15
202,101.325,1276.7,303.15
203,101.325,1272.9,308.15
204,101.325,1269.1,313.15
205,101.325,1265.3,318.15
206,101.325,1261.6,323.15
207,101.325,1257.8,328.15
208,101.325,1254.0,333.15
209,101.325,1250.2,338.15
210,101.325,1246.5,343.15
211,101.325,1242.8,348.15
212,101.325,1239.2,353.15
213,101.325,1299.1,278.15
214,101.325,1295.1,283.15
215,101.325,1291.2,288.15
216,101.325,1287.2,293.15
217,101.325,1283.3,298.15
218,101.325,1279.5,303.15
219,101.325,1275.7,308.15
220,101.325,1271.9,313.15
221,101.325,1268.1,318.15
222,101.325,1264.4,323.15
223,101.325,1260.6,328.15
224,101.325,1257.0,333.15
225,101.325,1253.3,338.15
226,101.325,1249.7,343.15
227,101.325,1246.1,348.15
228,101.325,1242.6,353.15
229,101.325,1239.0,358.15
230,101.325,1235.5,363.15
231,100.0,1284.7,293.15
232,1000.0,1285.1,293.15
233,5000.0,1286.8,293.15
234,10000.0,1288.9,293.15
235,15000.0,1291.0,293.15
236,20000.0,1293.1,293.15
237,25000.0,1295.2,293.15
238,30000.0,1297.2,293.15
239,35000.0,1299.2,293.15
240,40000.0,1301.2,293.15
241,100.0,1277.0,303.15
242,1000.0,1277.4,303.15
243,5000.0,1279.1,303.15
244,10000.0,1281.3,303.15
245,15000.0,1283.4,303.15
246,20000.0,1285.5,303.15
247,25000.0,1287.6,303.15
248,30000.0,1289.7,303.15
249,35000.0,1291.7,303.15
250,40000.0,1293.8,303.15
251,100.0,1269.4,313.15
252,1000.0,1269.8,313.15
253,5000.0,1271.6,313.15
254,10000.0,1273.8,313.15
255,15000.0,1275.9,313.15
256,20000.0,1278.1,313.15
257,25000.0,1280.2,313.15
258,30000.0,1282.3,313.15
259,35000.0,1284.4,313.15
260,40000.0,1286.5,313.15
261,100.0,1261.9,323.15
262,1000.0,1262.3,323.15
263,5000.0,1264.1,323.15
264,10000.0,1266.4,323.15
265,15000.0,1268.6,323.15
266,20000.0,1270.8,323.15
267,25000.0,1273.0,323.15
268,30000.0,1275.2,323.15
269,35000.0,1277.3,323.15
270,40000.0,1279.4,323.15
271,100.0,1254.5,333.15
272,1000.0,1254.9,333.15
273,5000.0,1256.8,333.15
274,10000.0,1259.1,333.15
275,15000.0,1261.4,333.15
276,20000.0,1263.7,333.15
277,25000.0,1266.0,333.15
278,30000.0,1268.2,333.15
279,35000.0,1270.4,333.15
280,40000.0,1272.6,333.15
281,40082.0,1309.7,284.727
282,29331.0,1305.8,284.743
283,9993.5,1296.4,285.119
284,19389.0,1300.9,285.204
285,1326.9,1293.0,285.804
286,50018.0,1309.1,290.95
287,39987.0,1305.1,291.302
288,20094.0,1295.8,291.577
289,10267.0,1292.4,291.59
290,30197.0,1300.2,292.001
291,1055.4,1288.3,292.029
292,10219.0,1287.7,298.143
293,19834.0,1291.8,298.145
294,20203.0,1291.8,298.146
295,29284.0,1295.2,298.146
296,61191.0,1308.4,298.146
297,39935.0,1299.6,298.147
298,39774.0,1299.6,298.153
299,50710.0,1304.4,298.153
300,30299.0,1295.2,298.162
301,1139.7,1283.3,298.634
302,59595.0,1303.9,304.088
303,39527.0,1294.6,304.388
304,49734.0,1299.0,304.61
305,29983.0,1291.2,304.62
306,19721.0,1287.1,304.693
307,10037.0,1282.7,304.695
308,1194.1,1278.5,305.23
309,39938.0,1290.6,311.405
310,30054.0,1286.5,311.493
311,60021.0,1298.3,311.508
312,19542.0,1282.1,311.554
313,10293.0,1278.0,311.556
314,50382.0,1293.9,311.72
315,1111.5,1273.3,312.051
316,19918.0,1277.3,318.36
317,50094.0,1289.9,318.367
318,9976.0,1272.7,318.372
